Modalità;Punteggio AI;Consiglio;Titolo;Azienda;Sede;Fonte;Programmazione richiesta;Smart Working;Contratto;Junior Friendly;Anni esperienza richiesti;Punti forza per Diego;Punti deboli per Diego;Riassunto AI;Stipendio Min (jobspy);Stipendio Max (jobspy);RAL Stimata AI;Reputazione Azienda;Adatta Neolaureati;Note Azienda;Ricerca usata;Link;Mandata candidatura?
Torino;6;Valutabile;ERP D365 F&O/Business Central - Junior/Middle – Developer;Avanade;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0|1;Esperienza con tecnologie Microsoft potrebbe essere utile per il suo background;Richiede programmazione intensiva, non allineata alle sue preferenze;Offerta per sviluppatore junior/middle su ERP D365 F&O/Business Central;N/D;N/D;30.000€-45.000€;Ottima;Sì;Avanade è una società di consulenza IT con una forte presenza nel mercato;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4375468755;
Torino;6;Valutabile;Python Developer / Data Engineer;bit spa;Torino, PIE, IT;indeed;Alta;Non specificato;Dipendente;No;2+;esperienza con tecnologie cloud;richiede programmazione intensiva in Python;Bit spa cerca Python Developer/Data Engineer con esperienza in tecnologie cloud e containerizzazione.;N/D;N/D;35.000€-50.000€;Buona;No;System Integrator ICT con sedi a Torino e Milano.;Junior DevOps Engineer;https://it.indeed.com/viewjob?jk=56172dddf6cd5d83;
Torino;6;Valutabile;DevOps;BYTE SRL;Cuneo, PIE, IT;indeed;Alta;Non specificato;Dipendente;No;3+;Esperienza con Kubernetes e DevOps;Richiede programmazione intensa;Byte Srl cerca Kubernetes Developer/DevOps Engineer. Richiede esperienza con Kubernetes e programmazione.;N/D;N/D;40.000€-60.000€;Buona;No;Società di consulenza informatica dinamica;Junior DevOps Engineer;https://it.indeed.com/viewjob?jk=2fb31af9e295c7e1;
Torino;6;Valutabile;DevOps Engineer;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;0;Esperienza in Cybersecurity e uso di tecnologie moderne;Richiede programmazione intensa;DevOps Engineer per NTT DATA Europe & Latam, richiede esperienza di programmazione;N/D;N/D;35.000€-45.000€;Ottima;Sì;NTT DATA Europe & Latam è un'azienda consolidata e rispettata;Junior DevOps Engineer;https://www.linkedin.com/jobs/view/4255723763;
Torino;6;Valutabile;Train Control Engineer;Teoresi Group;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in cybersecurity e vibecoding potrebbe essere utile;L'offerta richiede programmazione intensiva;Offerta per Train Control Engineer presso Teoresi Group, richiede programmazione e offre contratto dipendente;N/D;N/D;30.000€-40.000€;Buona;Sì;Teoresi Group sembra essere un'azienda rispettabile nel settore IT;Junior RPA Developer;https://www.linkedin.com/jobs/view/4356670902;
Torino;6;Valutabile;Design System Engineer (Ref.4886);Stellantis;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;Non specificato;Non specificati per questo ruolo;Richiede programmazione intensa;Design System Engineer per Stellantis, richiede programmazione avanzata;N/D;N/D;30.000€-45.000€;Buona;Sì;Stellantis è un'azienda multinazionale nota nel settore automotive;Junior System Administrator;https://www.linkedin.com/jobs/view/4353853733;
Torino;6;Valutabile;DevOps Specialist;IT.COR Srl;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1|2;Non valorizza le sue skill in AI Automation e No-Code;Richiede programmazione, contrariamente alle sue preferenze;Offerta per DevOps Specialist, junior-friendly, RAL non specificata;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Manca di informazioni sul tipo di contratto e smart working;Junior DevOps Engineer;https://www.linkedin.com/jobs/view/4375234752;
Torino;6;Valutabile;DevOps Engineer;Hays;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;1;Ha competenze in ambito DevOps che possono essere correlate alle sue conoscenze di Cybersecurity;L'offerta richiede una forte componente di programmazione, contrariamente alle sue preferenze;Offerta di lavoro come DevOps Engineer presso Hays, richiede esperienza di programmazione e potrebbe essere adatta a neolaureati;N/D;N/D;25.000€-35.000€;Buona;Sì;Hays è un'azienda di recruitment specializzata;Junior DevOps Engineer;https://www.linkedin.com/jobs/view/4372699708;
Torino;6;Valutabile;DevOps Specialist;All4Bit;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1;Non sembra valorizzare le sue skill in AI Automation e No-Code;Richiede programmazione, contrariamente alle sue preferenze;Offerta per DevOps Specialist, potrebbe non essere ideale per Diego;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;All4Bit potrebbe essere un'azienda interessante per Diego se fosse più focalizzata sulle sue aree di interesse;Junior DevOps Engineer;https://www.linkedin.com/jobs/view/4375190902;
Torino;6;Valutabile;Salesforce Developer | Stage | Torino;Lutech;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Stage;Sì;0;Esperienza con tecnologie avanzate;Richiede programmazione intensiva;Stage Salesforce Developer a Torino, possibilità di junior-friendly;N/D;N/D;18.000€-22.000€;Buona;Sì;Lutech è un'azienda affermata nel settore IT;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4375724497;
Torino;6;Valutabile;Control Engineer;Teoresi Group;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Titolo coerente con le sue competenze in Cybersecurity;Richiede programmazione, contrariamente alle sue preferenze;Offerta per Control Engineer presso Teoresi Group, richiede competenze tecniche;N/D;N/D;25.000€-35.000€;Buona;Sì;Teoresi Group è un'azienda consolidata nel settore IT;Junior RPA Developer;https://www.linkedin.com/jobs/view/4318045117;
Torino;6;Valutabile;Cloud Engineer;NPO Torino s.r.l.;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0|1;Esperienza con tecnologie cloud;Richiede programmazione intensa;Offerta per Cloud Engineer, junior-friendly, azienda NPO Torino s.r.l.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda con sede a Torino;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4378363762;
Torino;6;Valutabile;Cloud Engineer;Robert Half;;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in tecnologie cloud;Richiede programmazione intensa;Offerta per Cloud Engineer, azienda Robert Half, contratto dipendente.;N/D;N/D;30.000€-40.000€;Buona;Sì;Robert Half è un'agenzia di lavoro interinale con buona reputazione;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4377909961;
Torino;6;Valutabile;Lead Software Engineer / Cloud Architect;SHELLONBACK SRL;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;No;3+;Non specificati requisiti in linea con le sue skill di vibecoding e AI Automation;L'offerta sembra richiedere una figura senior con molta esperienza di programmazione;Offerta per Lead Software Engineer / Cloud Architect, azienda SHELLONBACK SRL. Richiede esperienza senior e programmazione avanzata;N/D;N/D;40.000€-60.000€;Sconosciuta;No;Nessuna informazione disponibile su SHELLONBACK SRL;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4371999864;
Torino;6;Valutabile;Cloud Architect/Engineer (AWS) – Design & Operations;Warp Tech;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1;Conoscenza di AWS potrebbe essere utile per progetti AI;Richiede programmazione, contrariamente alle preferenze di Diego;Cloud Architect/Engineer (AWS) per design e operazioni;N/D;N/D;35.000€-50.000€;Sconosciuta;Sì;Non ci sono informazioni sull'azienda;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4378179134;
Torino;6;Valutabile;Staff Design Engineer - Cloud Networking UX;Canonical;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;1|2;L'esperienza in Canonical potrebbe essere utile per la sua carriera;Richiede programmazione intensiva;Staff Design Engineer - Cloud Networking UX presso Canonical, smart working;N/D;N/D;35.000€-50.000€;Ottima;Sì;Canonical è un'azienda leader nel settore open source;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4380138580;
Torino;6;Valutabile;AWS Data Engineer;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;1;Esperienza con tecnologie cloud;Richiede programmazione intensiva;Offerta per AWS Data Engineer presso NTT DATA Europe & Latam, richiede programmazione e offre smart working;N/D;N/D;35.000€-45.000€;Ottima;Sì;Azienda leader nel settore IT;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4366723782;
Torino;6;Valutabile;Cloud Engineer;Tenth Revolution Group;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1;Non specificati requisiti che Diego possa sfruttare direttamente;L'offerta richiede programmazione ad alto livello;Offerta per Cloud Engineer presso Tenth Revolution Group, richiede programmazione avanzata;N/D;N/D;25.000€-35.000€;Buona;Sì;Tenth Revolution Group sembra essere un'azienda con una buona reputazione;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4374569678;
Torino;6;Valutabile;Consulente IT;agap2 Italia;Biella, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in ambito IT e Cybersecurity valorizzate;Manca una descrizione dettagliata dell'offerta;Offerta per Consulente IT con agap2 Italia, dettagli limitati;N/D;N/D;Non stimabile;Buona;Sì;Azienda con esperienza nel settore IT;Junior IT Consultant;https://www.linkedin.com/jobs/view/4375949400;
Torino;6;Valutabile;Governance & Compliance Advisor;Reply;Turin, Piedmont, Italy;linkedin;Bassa;Non specificato;Dipendente;Sì;1;Il ruolo potrebbe valorizzare le sue competenze in Governance e Compliance.;Potrebbe richiedere competenze specifiche non direttamente in linea con la sua esperienza in AI Automation e No-Code.;Ruolo di Governance & Compliance Advisor in Reply, richiede competenze di analisi e logica.;N/D;N/D;35.000€-45.000€;Ottima;Sì;Reply è un'azienda consolidata con una buona reputazione nel settore IT.;Junior IT Consultant;https://www.linkedin.com/jobs/view/4375512463;
Torino;6;Valutabile;IT Consultant;Reply;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Possibilità di lavorare in un'azienda con buona reputazione;Manca una descrizione dettagliata dell'offerta;Offerta di lavoro come IT Consultant presso Reply, adatta a neolaureati;N/D;N/D;25.000€-35.000€;Buona;Sì;Reply è un'azienda consolidata nel settore IT;Junior IT Consultant;https://www.linkedin.com/jobs/view/4377346796;
Torino;6;Valutabile;Azure Data Engineer;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Alta;Sì;Dipendente;Sì;0;Esperienza in ambito IT e background in Cybersecurity;Richiede programmazione, non adatta alle sue preferenze;Offerta per Azure Data Engineer, richiede programmazione e offre smart working;N/D;N/D;35.000€-45.000€;Ottima;Sì;NTT DATA Europe & Latam è un'azienda consolidata e rispettata;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4255734296;
Torino;6;Valutabile;Senior Cloud Consultant;4ward;PIE, IT;indeed;Media;Non specificato;Dipendente;No;3+;L'azienda opera in settori di interesse per Diego come Cybersecurity e Cloud.;Il titolo di Senior Cloud Consultant suggerisce una posizione che potrebbe richiedere più esperienza di quanto Diego ne abbia.;4ward è una società di consulenza IT con expertise in Cybersecurity, Cloud e Intelligenza Artificiale. Cerca un Senior Cloud Consultant.;N/D;N/D;60.000€-90.000€;Buona;No;4ward è tra i partner Microsoft italiani più premiati.;Junior IT Consultant;https://it.indeed.com/viewjob?jk=642807c56a33063e;
Torino;6;Valutabile;Payroll Engineer - Full Remote;Jet HR;Turin, Piedmont, Italy;linkedin;Alta;Sì;Non specificato;Sì;1|2;Il lavoro è full remote;Richiede programmazione intensa;Payroll Engineer full remote in Jet HR, contratto non specificato;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Poco conosciuta;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4377771809;
Torino;6;Valutabile;Cloud Engineer;Adecco;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;esperienza cloud;richiede programmazione intensa;Offerta per Cloud Engineer, junior-friendly, contratto dipendente;N/D;N/D;25.000€-35.000€;Buona;Sì;Adecco è un'azienda consolidata nel mercato del lavoro;Junior Cloud Support Engineer;https://www.linkedin.com/jobs/view/4357379847;
Torino;6;Valutabile;ServiceNow Developer;Eutelsat;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1|2;Esperienza con tecnologie avanzate potenzialmente utili;Richiede programmazione intensiva;ServiceNow Developer presso Eutelsat, contratto e dettagli smart working non specificati;N/D;N/D;25.000€-35.000€;Buona;Sì;Eutelsat è un'azienda nota nel settore delle telecomunicazioni;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4377770843;
Torino;6;Valutabile;Implementation Consultant PLM;Siemens Digital Industries Software;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;1;Esperienza PLM potrebbe essere utile per progetti di automazione;Titolo del lavoro non menziona direttamente AI o No-Code;Siemens cerca Implementation Consultant PLM, ruolo che potrebbe richiedere conoscenze tecniche;N/D;N/D;35.000€-45.000€;Ottima;Sì;Siemens Digital Industries Software è un'azienda leader nel settore;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4374096102;
Full Remote IT;4;Valutabile;Junior Administration - Amministrazione;Joinrs;;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Il ruolo potrebbe essere adatto per un neolaureato;Manca dettagli sul ruolo e sulle responsabilità;Ruolo Junior Administration, azienda Joinrs, dettagli scarsi;N/D;N/D;Non stimabile;Sconosciuta;Sì;Informazioni aziendali non disponibili;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379795102;
Torino;4;Valutabile;Marketplace specialist;STOV Vintage Furniture Design;Metropolitan City of Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Non specificato;Non specificato;Non specificati;Manca info su tecnologie e compiti;Offerta generica senza dettagli tecnici o contrattuali;N/D;N/D;Non stimabile;Sconosciuta;Non specificato;Manca info sull'azienda e sul ruolo;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4376217030;
Torino;4;Salta;Product Manager - Marketing;Balocco;Fossano, Piedmont, Italy;linkedin;Bassa;Non specificato;Non specificato;No;3+;Il ruolo non sembra richiedere forte programmazione;Titolo del ruolo non corrisponde alle aspirazioni di Diego (Product Manager - Marketing);L'offerta sembra non essere adatta a Diego per via del titolo e della mancanza di dettagli;N/D;N/D;Non stimabile;Sconosciuta;No;Azienda sconosciuta;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4375996079;
Full Remote IT;4;Valutabile;Tecnico Installatore Sistemi di Sicurezza;Bieffedue Elettronica;Vimercate, Lombardy, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Non sembra sfruttare le sue abilità in AI Automation e No-Code;Il titolo dell'offerta non corrisponde alle sue aspirazioni;L'offerta richiede competenze tecniche, ma il titolo non sembra allineato con le aspettative di Diego;N/D;N/D;25.000€-30.000€;Sconosciuta;Sì;Azienda elettronica con necessità di tecnici installatori;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4354033929;
Torino;4;Valutabile;E/E Vehicle Diagnostic Testing Engineer;fortil;Metropolitan City of Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;1;Non sembra allineato con le sue preferenze per logica e analisi;Richiede programmazione, contrariamente alle sue preferenze;Offerta per E/E Vehicle Diagnostic Testing Engineer, richiede programmazione;N/D;N/D;30.000€-40.000€;Sconosciuta;Sì;Poca informazione disponibile su 'fortil';Junior Test Analyst;https://www.linkedin.com/jobs/view/4374072105;
Torino;4;Salta;Junior Affiliate Account - UK;Across srl;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;Non specificato;Titolo del lavoro non sembra allineato con le sue competenze;Manca di informazioni cruciali sul tipo di contratto e sul ruolo;Offerta poco dettagliata e non in linea con le competenze di Diego;N/D;N/D;Non stimabile;Sconosciuta;Non specificato;Informazioni aziendali insufficienti;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4378755176;
Full Remote IT;4;Valutabile;KERING EYEWEAR Junior After Sales Planner;Kering;Limena, VEN, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;Non sembra sfruttare le sue competenze in AI e programmazione;Il ruolo non sembra allineato con le sue aspirazioni di carriera in ambito IT e sicurezza;Pianificazione after sales per Kering Eyewear, supervisione limitata;N/D;N/D;25.000€-35.000€;Ottima;Sì;Azienda di lusso con marchi prestigiosi;Junior IT Analyst;https://it.indeed.com/viewjob?jk=a3e667c05f6c0ff4;
Torino;4;Salta;Laureati/Diplomati in materie economiche;Sistemi S.p.A.;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0;L'offerta potrebbe essere junior-friendly;Richiede programmazione e non è specificato il tipo di contratto;L'offerta non sembra adatta a Diego per le sue preferenze;N/D;N/D;Non stimabile;Sconosciuta;Sì;Azienda Sistemi S.p.A. richiede laureati in materie economiche;Junior RPA Developer;https://www.linkedin.com/jobs/view/4377811397;
Torino;4;Valutabile;Mechanical Testing Engineer - Quattordio R&D Lab;Prysmian;Quattordio, Piedmont, Italy;linkedin;Alta;No;Dipendente;No;3+;Non specificati;Lavoro richiede programmazione e esperienza;Posizione come Mechanical Testing Engineer presso Prysmian, richiede esperienza e competenze tecniche specifiche.;N/D;N/D;40.000€-60.000€;Buona;No;Azienda leader nel settore;Junior Test Analyst;https://www.linkedin.com/jobs/view/4339315086;
Torino;4;Salta;JUNIOR MATERIAL & PRODUCTION PLANNER;VPA S.P.A. VILLA PEDEMONTE ATELIER;Castelletto Monferrato, Piedmont, Italy;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Non sembra utilizzare le sue competenze in AI e No-Code;Il ruolo non sembra allineato con le sue preferenze per logica, analisi e sicurezza;L'offerta sembra non essere adatta alle competenze e preferenze di Diego. Il ruolo di Junior Material & Production Planner non richiede le sue abilità IT;N/D;N/D;Non stimabile;Sconosciuta;Non specificato;Azienda non nota nel settore IT;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4375961094;
Torino;4;Valutabile;Senior Data Scientist;Data Reply IT;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;No;3+;Non specificati;Richiede programmazione avanzata;Senior Data Scientist, Data Reply IT, contratto dipendente;N/D;N/D;50.000€-80.000€;Buona;No;Azienda di consulenza IT specializzata in Data Science;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4375934818;
Full Remote IT;4;Salta;Volontaria/o Admin & Coordinamento Operativo;WiMIT - Women in Mobility, Infrastructure, Transport;;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Lavoro in un'organizzazione che promuove la diversità;Non sono specificate le competenze richieste;L'offerta è per un ruolo di volontariato, non di lavoro.;N/D;N/D;Non stimabile;Buona;Sì;WiMIT è un'organizzazione che promuove le donne nel settore dei trasporti e infrastrutture;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4378153915;
Torino;4;Salta;Business Analyst (Supply Analytics, Bangkok-based, Relocation provided);Agoda;Turin, Piedmont, Italy;linkedin;Bassa;No;Dipendente;No;3+;Non sono richiesti skills di vibecoding;Richiede relocation a Bangkok;Business Analyst per Supply Analytics ad Agoda, richiede esperienza e relocation;N/D;N/D;Non stimabile;Buona;No;Azienda nota nel settore turismo online;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4334473882;
Torino;4;Valutabile;Helpdesk;STAR7;Turin, Piedmont, Italy;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Il ruolo di Helpdesk potrebbe essere adatto a Diego se non richiede programmazione intensa.;L'offerta non specifica il tipo di contratto o le condizioni di smart working.;L'offerta è per un ruolo di Helpdesk presso STAR7, con poche informazioni disponibili.;N/D;N/D;Non stimabile;Sconosciuta;Sì;STAR7 è un'azienda sconosciuta.;Junior Help Desk;https://www.linkedin.com/jobs/view/4373475703;
Torino;4;Valutabile;Analista funzionale SAP HCM - profilo Senior;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;No;3+;Non richiesti skills di vibecoding;Richiede programmazione;Analista funzionale SAP HCM Senior, azienda NTT DATA Europe & Latam;N/D;N/D;50.000€-70.000€;Ottima;No;Azienda grande e consolidata;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4375164033;
Full Remote IT;4;Valutabile;Impiegato IT Analyst Junior;ASF Autolinee Srl;Como, LOM, IT;indeed;Media;No;Dipendente;Sì;0;Contratto a tempo indeterminato;Lavoro di persona senza smart working;Impiegato IT Analyst Junior in ASF Autolinee Srl, contratto a tempo pieno e indeterminato;N/D;N/D;20.000€-25.000€;Buona;Sì;Azienda di trasporti pubblici con sede in Italia;Junior IT Analyst;https://it.indeed.com/viewjob?jk=357495f5b751f2d8;
Torino;4;Valutabile;COLLABORATRICI HELP DESK INFORMAZIONI PUNTO VENDITA;Servizi per le tue Imprese;;linkedin;Bassa;Non specificato;Non specificato;Sì;0;Il ruolo di Help Desk potrebbe essere in linea con le sue preferenze per l'analisi e il supporto.;Il titolo e la descrizione non menzionano aspetti legati alla sicurezza, AI o automazione che Diego considera ideali.;L'offerta sembra essere per un ruolo di Help Desk, non direttamente in linea con le competenze e gli interessi di Diego in cybersecurity e AI.;N/D;N/D;20.000€-25.000€;Sconosciuta;Sì;Manca una descrizione dettagliata dell'azienda e del ruolo specifico.;Junior Help Desk;https://www.linkedin.com/jobs/view/4375266166;
Torino;4;Valutabile;Help Desk SAP appartenente alle categorie protette L.68/99;Dedagroup;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta appartiene alle categorie protette;Richiede programmazione;Help Desk SAP per Dedagroup, contratto dipendente;N/D;N/D;25.000€-35.000€;Buona;Sì;Dedagroup è un'azienda nota nel settore IT;Junior Help Desk;https://www.linkedin.com/jobs/view/4345578955;
Torino;4;Valutabile;Data Analyst/Data Viz appartenente alle cat. protette della Lg. 68/99 (Torino);Target Reply;;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta è rivolta a categorie protette, potrebbe essere una buona opportunità per Diego se rientra in queste categorie.;L'offerta non sembra valorizzare le skill di Diego relative all'AI Automation e No-Code.;L'offerta è per un Data Analyst/Data Viz a Torino, richiede programmazione e potrebbe essere adatta a un junior.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Target Reply sembra essere un'azienda che assume persone appartenenti a categorie protette.;Junior Data Analyst;https://www.linkedin.com/jobs/view/4365473745;
Full Remote IT;4;Valutabile;Corporate Finance - Valutation Junior Analyst;Pirola Pennuto Zei & Associati;Milano, LOM, IT;indeed;Bassa;Non specificato;Dipendente;Sì;0;Non richiede programmazione intensiva;Non è direttamente correlata alle sue competenze di Cybersecurity;L'offerta riguarda un ruolo di Valuation Junior Analyst in Corporate Finance a Milano;N/D;N/D;30.000€-40.000€;Buona;Sì;Studio di consulenza finanziaria specializzato;Junior Data Analyst;https://it.indeed.com/viewjob?jk=f20ac355853a86f2;
Torino;4;Salta;Data Scientist - BIELLA;Energent S.p.A.;Biella, Piedmont, Italy;linkedin;Alta;No;Dipendente;No;3+;Non specificati;Titolo e azienda non allineati con le sue preferenze;Data Scientist a Biella, Energent S.p.A.;N/D;N/D;Non stimabile;Sconosciuta;No;Informazioni insufficienti;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4378304478;
Torino;4;Valutabile;Developer .NET/C#;Grafton Recruitment;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0;Non specificati;L'offerta richiede programmazione .NET/C#, Diego preferisce logica e analisi;L'offerta richiede programmazione .NET/C#, non specificato smart working o tipo di contratto;N/D;N/D;25.000€-35.000€;Buona;Sì;Grafton Recruitment ha una buona reputazione;Junior Salesforce Administrator;https://www.linkedin.com/jobs/view/4375354508;
Torino;4;Salta;QC Spa Pré Saint Didier - Generico di Cucina;QC Terme spas and resorts;Aosta, Valle d'Aosta, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0;Non specificato;Lavoro non inerente alle competenze di Diego;L'offerta non corrisponde alle aspettative di Diego;N/D;N/D;Non stimabile;Buona;Sì;Azienda nota per i suoi resort di lusso;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4378886262;
Torino;4;Salta;PRODUCT MANAGER MARKETING;ADHR GROUP;Fossano, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Non specificato;Non specificato;Non sembra utilizzare le sue competenze in AI e No-Code.;Il titolo dell'offerta non corrisponde alle sue aspirazioni.;Offerta per Product Manager Marketing non allineata con le competenze e preferenze di Diego.;N/D;N/D;Non stimabile;Sconosciuta;Non specificato;Azienda non nota per ruoli IT o tech.;Junior Product Manager Gaming;https://www.linkedin.com/jobs/view/4377774470;
Full Remote IT;4;Valutabile;Junior SAP Consultant;Camasia Srl;Vergiate, LOM, IT;indeed;Bassa;Sì;Dipendente;Sì;0;L'offerta è per un ruolo di consulente SAP che potrebbe interessare Diego per le sue competenze in analisi e logica.;L'offerta non sembra valorizzare le competenze di Diego in AI Automation e No-Code.;Camasia Srl cerca Junior SAP Consultant. Contratto a tempo pieno, ibrido, 25k-30k.;N/D;N/D;25.000€-30.000€;Buona;Sì;Camasia Srl è una società Silver Partner SAP ed Europe’s Best Workplace.;Analista Funzionale Junior;https://it.indeed.com/viewjob?jk=54d916c04d63926e;
Torino;4;Valutabile;Addetto/a ufficio gare e supporto commerciale;Adecco;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Non specificati;Lavoro non direttamente legato alle competenze IT di Diego;Offerta non direttamente correlata alle competenze e preferenze di Diego;N/D;N/D;25.000€-35.000€;Buona;Sì;Adecco è un'azienda consolidata nel settore dei servizi per il lavoro;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4358001856;
Torino;4;Valutabile;Lead Sales Specialist;tesar;Torino, PIE, IT;indeed;Bassa;No;Stage;Sì;0;Laurea in Informatica e esperienza in progetti IT;L'offerta si concentra su Sales e non su aree tecniche;Stage come Lead Sales Specialist a Torino, focus su analisi e vendita;N/D;N/D;15.000€-20.000€;Sconosciuta;Sì;Azienda leader nelle soluzioni software per Industria 4.0;Stage Informatica Torino;https://it.indeed.com/viewjob?jk=4f4a6380492eac3d;
Torino;4;Salta;Senior Project Manager - Lens Innovation;Operations OO;Lauriano, PIE, IT;indeed;Bassa;Non specificato;Dipendente;No;3+;Non richiesti skills specifici di Diego;Offerta per Senior Project Manager, non adatta a neolaureato;Azienda leader globale nel settore ottico, cerca Senior Project Manager;N/D;N/D;60.000€-90.000€;Buona;No;EssilorLuxottica è un'azienda molto conosciuta e rispettata nel suo settore;Junior IT Operations;https://it.indeed.com/viewjob?jk=81b30f64d3cefefe;
Torino;4;Valutabile;Analista Tempi e Metodi - Aerospace;ALTEN Italia;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;1;ALTEN Italia potrebbe apprezzare le sue competenze in analisi e logica;Il titolo del ruolo non corrisponde alle sue aspirazioni (AI Automation, No-Code, IT Analyst, QA, SOC);L'offerta sembra richiedere competenze di analisi, ma il titolo e il settore (Aerospace) potrebbero non essere ideali per Diego;N/D;N/D;25.000€-35.000€;Buona;Sì;ALTEN Italia è un'azienda consolidata nel settore dei servizi IT;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4373479133;
